Number	Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	COL2215_B1_1	COL2215_B1_2	COL2215_B1_3	COL2215_Coinoculation_1	COL2215_Coinoculation_2	COL2215_Coinoculation_3	COL2215_DAOM197198_1	COL2215_DAOM197198_2	COL2215_DAOM197198_3
30	Rhiir2_1|1615450	454.547279217403	-5.85439125882203	0.41447122275782	-14.1249643820093	2.66534584157167e-45	1.63270201768542e-42	1048.13349842545	815.278720571467	1203.29882524894	310.034237444017	433.772036302502	231.679176689428	13.6405782655461	5.99679471213189	29.0916452971415
31	Rhiir2_1|1636731	308.3867956348	-6.09546923031281	0.432483706781686	-14.0941014302528	4.12869590395977e-45	2.44751756861512e-42	764.615395019944	488.851844056392	865.467004122446	216.938557329973	252.576122403989	158.665133126699	13.6405782655461	1.99893157071063	12.7275948174994
32	Rhiir2_1|1882669	321.877381517164	-5.71988798767243	0.40638938682972	-14.0748950957942	5.41852379777681e-45	3.11175661974202e-42	640.12444309968	630.77657297599	680.204392536949	407.400361599989	266.852164105084	230.275060467068	10.9124626124369	23.9871788485276	6.3637974087497
33	Rhiir2_1|1638110	5180.49067641645	4.83171210564	0.347210500933516	13.9158006242593	5.07880176723802e-44	2.82827697201615e-41	242.556564386579	585.83374215145	334.199220899329	3680.26867533407	5687.35538230547	2982.34285629301	12080.0961119676	8843.27326882382	12188.4902655868
34	Rhiir2_1|1481831	310.572623938603	5.44741415609435	0.396998010400712	13.7215150035537	7.54717343338812e-43	4.07924724074628e-40	12.8506789078982	6.3077657297599	16.3467010222498	318.575125527874	439.262821572154	471.080992601838	518.341974090751	327.824777596543	684.562778398361
35	Rhiir2_1|1845506	325.016311952588	3.34791640021093	0.244057508537028	13.7177357102414	7.95098814537396e-43	4.17472311850106e-40	58.6312225172856	63.8661280138189	59.9379037482491	234.874422306073	265.754007051153	384.727844926687	652.019641093102	591.683744930346	613.651892986579
36	Rhiir2_1|1868019	299.409155857832	5.4327734545036	0.397071959654071	13.6820878997264	1.29908219938901e-42	6.63145377171441e-40	14.4570137713855	4.73082429731992	19.9793012494164	321.137391953031	260.263221781501	404.38547203973	650.655583266548	401.785245712837	617.288348648721
37	Rhiir2_1|1476480	225.43339020574	-4.61781139303175	0.339342746715553	-13.6081040120257	3.58421882655328e-42	1.78019430744783e-39	424.875571392385	439.178188934533	316.036219763495	255.37255370733	280.030048752248	261.867675470172	20.4608673983191	21.9882472778169	9.09113915535672
38	Rhiir2_1|1788281	166.267533064649	5.14831064318842	0.378627930764598	13.5972817240185	4.15594580365692e-42	2.00983726404745e-39	12.0475114761546	7.09623644597988	11.8059507382915	135.80012053333	84.5580931526397	153.750726348439	443.318793630247	299.839735606594	348.190629650162
39	Rhiir2_1|1848880	227.691332698924	-6.26977010532481	0.462727778128132	-13.5495866072442	7.96775898733711e-42	3.75444889513575e-39	588.721727468087	451.005249677833	494.03363089466	215.230379713202	137.269631741298	145.326029014278	2.72811565310921	3.99786314142126	10.9093669864281
40	Rhiir2_1|1500739	4825.05679546307	13.923664187259	1.04230736460959	13.3585012060951	1.05670412572537e-40	4.85476292961377e-38	0	0	1.81630011358331	5448.23250869251	4845.06892194086	7279.64055482631	8387.59157548428	9432.95808218346	8030.20321592659
41	Rhiir2_1|1654047	357.109144985588	3.69711538030698	0.277667420237057	13.3149052098031	1.89612954109169e-40	8.49882257966879e-38	44.9773761776438	59.923774432719	49.0401030667493	268.183885833116	321.760016801603	469.676876379478	582.452691938817	771.587586294303	646.379993945863
42	Rhiir2_1|1789985	1604.01364746568	12.0413219727585	0.905429611130033	13.299014992154	2.34537715821039e-40	1.02621419134363e-37	0	0.788470716219987	1.81630011358331	936.935422799135	1063.01602820461	1895.55690018623	2542.60378869779	4995.32999520586	3000.07592126772
43	Rhiir2_1|1662877	475.191378162586	-5.70058034938047	0.429041529275094	-13.2867798579129	2.76211557876072e-40	1.18045111606711e-37	1000.74661995257	643.392104435509	1183.31952399952	611.527586804176	509.544873023699	273.100605249054	27.2811565310921	15.991452565685	11.8184809019637
44	Rhiir2_1|1788280	146.963351425887	3.94118062084685	0.297622726281709	13.2422032083545	5.00584853438112e-40	2.09073814809823e-37	28.1108601110273	15.7694143243997	18.1630011358331	86.2629696469578	97.7359777998043	119.349878900615	315.097357934114	355.809819586492	286.370883393737
45	Rhiir2_1|1606582	442.360294628163	-4.44797374882292	0.337385211294416	-13.1836654361872	1.08965220619094e-39	4.44989746514911e-37	855.373314806975	805.817071976827	995.332462243652	505.620574564346	385.453125929565	313.117917586318	19.0968095717645	45.9754261263445	55.455948847676
46	Rhiir2_1|1713797	413.675267459582	2.45334975553123	0.187630389784077	13.0754392097917	4.54928687463546e-39	1.81744010641686e-36	127.703621647239	111.962841703238	136.222508518748	385.19405258196	416.201523439616	488.63244538134	742.047457645706	669.642076188061	645.470880030327
47	Rhiir2_1|1088894	163.337883478747	-4.77854057775651	0.365998896350787	-13.0561611671544	5.8609529001053e-39	2.29163258394117e-36	347.771497944995	305.138167177135	302.413968911621	184.483182611316	171.31250041314	123.562227567695	9.54840478588225	13.9925209949744	11.8184809019637
48	Rhiir2_1|1646322	3660.44901686513	15.6834293183384	1.21258275444919	12.9339043135761	2.89724039579036e-38	1.10922055736332e-35	0	0	0	2381.19959777939	2199.60857902256	4212.34866708052	7510.50239300967	8839.2754056824	7801.1065092116
